country,officialName,continent
India,Republic of India,Asia
China,People's Republic of China,Asia
United States,United States of America,North America
Indonesia,Republic of Indonesia,Asia
Pakistan,Islamic Republic of Pakistan,Asia
Nigeria,Federal Republic of Nigeria,Africa
Brazil,Federative Republic of Brazil,South America
Bangladesh,People's Republic of Bangladesh,Asia
Russia,Russian Federation,"Asia, Europe"
Ethiopia,Federal Democratic Republic of Ethiopia,Africa
Mexico,United Mexican States,North America
Japan,Japan,Asia
Philippines,Republic of the Philippines,Asia
Egypt,Arab Republic of Egypt,Africa
DR Congo,Democratic Republic of the Congo,Africa
Vietnam,Socialist Republic of Vietnam,Asia
Iran,Islamic Republic of Iran,Asia
Turkey,Republic of Turkey,Asia
Germany,Federal Republic of Germany,Europe
Thailand,Kingdom of Thailand,Asia
Tanzania,United Republic of Tanzania,Africa
United Kingdom,United Kingdom of Great Britain and Northern Ireland,Europe
France,French Republic,Europe
South Africa,Republic of South Africa,Africa
Italy,Italian Republic,Europe
Kenya,Republic of Kenya,Africa
Myanmar,Republic of the Union of Myanmar,Asia
Colombia,Republic of Colombia,South America
South Korea,Republic of Korea,Asia
Uganda,Republic of Uganda,Africa
Sudan,Republic of the Sudan,Africa
Spain,Kingdom of Spain,Europe
Iraq,Republic of Iraq,Asia
Algeria,People's Democratic Republic of Algeria,Africa
Argentina,Argentine Republic,South America
Afghanistan,Islamic Republic of Afghanistan,Asia
Poland,Republic of Poland,Europe
Canada,Canada,North America
Morocco,Kingdom of Morocco,Africa
Ukraine,Ukraine,Europe
Angola,Republic of Angola,Africa
Saudi Arabia,Kingdom of Saudi Arabia,Asia
Uzbekistan,Republic of Uzbekistan,Asia
Yemen,Republic of Yemen,Asia
Mozambique,Republic of Mozambique,Africa
Ghana,Republic of Ghana,Africa
Peru,Republic of Peru,South America
Malaysia,Malaysia,Asia
Nepal,Federal Democratic Republic of Nepal,Asia
Madagascar,Republic of Madagascar,Africa
Ivory Coast,Republic of Côte d'Ivoire,Africa
Venezuela,Bolivarian Republic of Venezuela,South America
Cameroon,Republic of Cameroon,Africa
Niger,Republic of Niger,Africa
Australia,Commonwealth of Australia,Oceania
North Korea,Democratic People's Republic of Korea,Asia
Syria,Syrian Arab Republic,Asia
Mali,Republic of Mali,Africa
Taiwan,Republic of China,Asia
Burkina Faso,Burkina Faso,Africa
Sri Lanka,Democratic Socialist Republic of Sri Lanka,Asia
Malawi,Republic of Malawi,Africa
Zambia,Republic of Zambia,Africa
Kazakhstan,Republic of Kazakhstan,Asia
Chile,Republic of Chile,South America
Romania,Romania,Europe
Chad,Republic of Chad,Africa
Somalia,Federal Republic of Somalia,Africa
Ecuador,Republic of Ecuador,South America
Guatemala,Republic of Guatemala,North America
Senegal,Republic of Senegal,Africa
